TimeStamp in ms:	Pressure in Pa:	Systeme State:	Alarm State:	
1588809804500 	12344255 	13 	1
1588809804750 	12354200 	13 	1
1588809805000 	12364872 	13 	1
1588809805250 	12375565 	13 	1
1588809805500 	12385506 	13 	1
1588809805750 	12394468 	13 	1
1588809806000 	12404449 	13 	1
1588809806250 	12414966 	13 	1
1588809806500 	12426325 	13 	1
1588809806750 	12436677 	13 	1
1588809807000 	12445740 	13 	1
1588809807250 	12455824 	13 	1
1588809807500 	12467157 	13 	1
1588809807750 	12477451 	13 	1
1588809808000 	12487317 	13 	1
1588809808250 	12498044 	13 	1
1588809808500 	12508089 	13 	1
1588809808750 	12517654 	13 	1
1588809809000 	12528590 	13 	1
1588809809250 	12540171 	13 	1
1588809809500 	12551230 	13 	1
1588809809750 	12560856 	13 	1
1588809810000 	12570512 	13 	1
1588809810250 	12582027 	13 	1
1588809810500 	12591868 	13 	1
1588809810750 	12602861 	13 	1
1588809811000 	12613547 	13 	1
1588809811250 	12623684 	13 	1
1588809811500 	12634078 	13 	1
1588809811750 	12645595 	13 	1
1588809812000 	12655705 	13 	1
1588809812250 	12666542 	13 	1
1588809812500 	12676824 	13 	1
1588809812750 	12686407 	13 	1
1588809813000 	12696718 	13 	1
1588809813250 	12707667 	13 	1
1588809813500 	12717354 	13 	1
1588809813750 	12728768 	13 	1
1588809814000 	12738937 	13 	1
1588809814250 	12750631 	13 	1
1588809814500 	12760621 	13 	1
1588809814750 	12770894 	13 	1
1588809815000 	12781292 	13 	1
1588809815250 	12791216 	13 	1
1588809815500 	12802765 	13 	1
1588809815750 	12813554 	13 	1
1588809816000 	12825147 	13 	1
1588809816250 	12837227 	13 	1
1588809816500 	12848481 	13 	1
1588809816750 	12859053 	13 	1
1588809817000 	12871172 	13 	1
1588809817250 	12881488 	13 	1
1588809817500 	12892505 	13 	1
1588809817750 	12904643 	13 	1
1588809818000 	12916816 	13 	1
1588809818250 	12927996 	13 	1
1588809818500 	12939463 	13 	1
1588809818750 	12950637 	13 	1
1588809819000 	12962650 	13 	1
1588809819250 	12974751 	13 	1
1588809819500 	12985261 	13 	1
1588809819750 	12995618 	13 	1
1588809820000 	13006768 	13 	1
1588809820250 	13018153 	13 	1
1588809820500 	13030631 	13 	1
1588809820750 	13042208 	13 	1
1588809821000 	13052674 	13 	1
1588809821250 	13064915 	13 	1
1588809821500 	13075559 	13 	1
1588809821750 	13086228 	13 	1
1588809822000 	13098210 	13 	1
1588809822250 	13108836 	13 	1
1588809822500 	13119749 	13 	1
1588809822750 	13132079 	13 	1
1588809823000 	13142996 	13 	1
1588809823250 	13155366 	13 	1
1588809823500 	13166408 	13 	1
1588809823750 	13178784 	13 	1
1588809824000 	13191115 	13 	1
1588809824250 	13203236 	13 	1
1588809824500 	13214023 	13 	1
1588809824750 	13225856 	13 	1
1588809825000 	13238054 	13 	1
1588809825250 	13249600 	13 	1
1588809825500 	13261326 	13 	1
1588809825750 	13273432 	13 	1
1588809826000 	13285836 	13 	1
1588809826250 	13296721 	13 	1
1588809826500 	13309638 	13 	1
1588809826750 	13321706 	13 	1
1588809827000 	13334285 	13 	1
1588809827250 	13345319 	13 	1
1588809827500 	13357295 	13 	1
1588809827750 	13368154 	13 	1
1588809828000 	13380520 	13 	1
1588809828250 	13392497 	13 	1
1588809828500 	13404836 	13 	1
1588809828750 	13417114 	13 	1
1588809829000 	13428355 	13 	1
1588809829250 	13440741 	13 	1
1588809829500 	13453069 	13 	1
1588809829750 	13465652 	13 	1
1588809830000 	13478439 	13 	1
1588809830250 	13490997 	13 	1
1588809830500 	13503241 	13 	1
1588809830750 	13516219 	13 	1
1588809831000 	13527999 	13 	1
1588809831250 	13540516 	13 	1
1588809831500 	13552679 	13 	1
1588809831750 	13564015 	13 	1
1588809832000 	13575856 	13 	1
1588809832250 	13588389 	13 	1
1588809832500 	13601117 	13 	1
1588809832750 	13614694 	13 	1
1588809833000 	13627854 	13 	1
1588809833250 	13641367 	13 	1
1588809833500 	13654123 	13 	1
1588809833750 	13666738 	13 	1
1588809834000 	13680130 	13 	1
1588809834250 	13692376 	13 	1
1588809834500 	13706009 	13 	1
1588809834750 	13718944 	13 	1
1588809835000 	13731567 	13 	1
1588809835250 	13743660 	13 	1
1588809835500 	13756754 	13 	1
1588809835750 	13770584 	13 	1
1588809836000 	13783474 	13 	1
1588809836250 	13795303 	13 	1
1588809836500 	13807786 	13 	1
1588809836750 	13821108 	13 	1
1588809837000 	13834491 	13 	1
1588809837250 	13848012 	13 	1
1588809837500 	13860639 	13 	1
1588809837750 	13873074 	13 	1
1588809838000 	13885832 	13 	1
1588809838250 	13899326 	13 	1
1588809838500 	13913340 	13 	1
1588809838750 	13926893 	13 	1
1588809839000 	13939496 	13 	1
1588809839250 	13952243 	13 	1
1588809839500 	13965643 	13 	1
1588809839750 	13978576 	13 	1
1588809840000 	13992759 	13 	1
